"Label (Grouping)","Total"
"ZCTA5 01340",""
"    ZCTA5 01340","1,803"
"ZCTA5 01341",""
"    ZCTA5 01341","1,539"
"ZCTA5 01342",""
"    ZCTA5 01342","1,538"
"ZCTA5 01343",""
"    ZCTA5 01343","165"
"ZCTA5 01344",""
"    ZCTA5 01344","1,665"
"ZCTA5 01346",""
"    ZCTA5 01346","352"
"ZCTA5 01347",""
"    ZCTA5 01347","204"
"ZCTA5 01349",""
"    ZCTA5 01349","827"
"ZCTA5 01350",""
"    ZCTA5 01350","118"
"ZCTA5 01351",""
"    ZCTA5 01351","2,293"
"ZCTA5 01354",""
"    ZCTA5 01354","1,546"
"ZCTA5 01355",""
"    ZCTA5 01355","879"
"ZCTA5 01360",""
"    ZCTA5 01360","2,871"
"ZCTA5 01364",""
"    ZCTA5 01364","7,665"
"ZCTA5 01366",""
"    ZCTA5 01366","1,187"
"ZCTA5 01367",""
"    ZCTA5 01367","506"
"ZCTA5 01368",""
"    ZCTA5 01368","1,283"
"ZCTA5 01370",""
"    ZCTA5 01370","3,932"
"ZCTA5 01373",""
"    ZCTA5 01373","4,526"
"ZCTA5 01375",""
"    ZCTA5 01375","3,639"
"ZCTA5 01376",""
"    ZCTA5 01376","5,324"
"ZCTA5 01378",""
"    ZCTA5 01378","780"
"ZCTA5 01379",""
"    ZCTA5 01379","774"
"ZCTA5 01380",""
"    ZCTA5 01380","82"
"ZCTA5 01420",""
"    ZCTA5 01420","41,940"
"ZCTA5 01430",""
"    ZCTA5 01430","6,303"
"ZCTA5 01431",""
"    ZCTA5 01431","3,193"
"ZCTA5 01432",""
"    ZCTA5 01432","8,221"
"ZCTA5 01434",""
"    ZCTA5 01434","1,652"
"ZCTA5 01436",""
"    ZCTA5 01436","3,208"
"ZCTA5 01438",""
"    ZCTA5 01438","414"
"ZCTA5 01440",""
"    ZCTA5 01440","21,577"
"ZCTA5 01450",""
"    ZCTA5 01450","11,298"
"ZCTA5 01451",""
"    ZCTA5 01451","5,461"
"ZCTA5 01452",""
"    ZCTA5 01452","4,328"
"ZCTA5 01453",""
"    ZCTA5 01453","43,752"
"ZCTA5 01460",""
"    ZCTA5 01460","10,141"
"ZCTA5 01462",""
"    ZCTA5 01462","11,818"
"ZCTA5 01463",""
"    ZCTA5 01463","11,621"
"ZCTA5 01464",""
"    ZCTA5 01464","7,427"
"ZCTA5 01468",""
"    ZCTA5 01468","4,309"
"ZCTA5 01469",""
"    ZCTA5 01469","7,055"
"ZCTA5 01473",""
"    ZCTA5 01473","8,213"
"ZCTA5 01474",""
"    ZCTA5 01474","2,072"
"ZCTA5 01475",""
"    ZCTA5 01475","10,304"
"ZCTA5 01501",""
"    ZCTA5 01501","16,731"
"ZCTA5 01503",""
"    ZCTA5 01503","3,158"
"ZCTA5 01504",""
"    ZCTA5 01504","9,208"
"ZCTA5 01505",""
"    ZCTA5 01505","4,849"
"ZCTA5 01506",""
"    ZCTA5 01506","3,439"
"ZCTA5 01507",""
"    ZCTA5 01507","13,315"
"ZCTA5 01510",""
"    ZCTA5 01510","15,428"
"ZCTA5 01515",""
"    ZCTA5 01515","2,224"
"ZCTA5 01516",""
"    ZCTA5 01516","8,962"
"ZCTA5 01518",""
"    ZCTA5 01518","3,176"
"ZCTA5 01519",""
"    ZCTA5 01519","7,254"
"ZCTA5 01520",""
"    ZCTA5 01520","16,394"
"ZCTA5 01521",""
"    ZCTA5 01521","2,603"
"ZCTA5 01522",""
"    ZCTA5 01522","3,464"
"ZCTA5 01523",""
"    ZCTA5 01523","8,377"
"ZCTA5 01524",""
"    ZCTA5 01524","6,621"
"ZCTA5 01525",""
"    ZCTA5 01525","73"
"ZCTA5 01527",""
"    ZCTA5 01527","13,799"
"ZCTA5 01529",""
"    ZCTA5 01529","3,174"
"ZCTA5 01531",""
"    ZCTA5 01531","996"
"ZCTA5 01532",""
"    ZCTA5 01532","15,741"
"ZCTA5 01534",""
"    ZCTA5 01534","6,233"
"ZCTA5 01535",""
"    ZCTA5 01535","4,735"
"ZCTA5 01536",""
"    ZCTA5 01536","7,514"
"ZCTA5 01537",""
"    ZCTA5 01537","2,141"
"ZCTA5 01540",""
"    ZCTA5 01540","11,032"
"ZCTA5 01541",""
"    ZCTA5 01541","3,495"
"ZCTA5 01542",""
"    ZCTA5 01542","2,366"
"ZCTA5 01543",""
"    ZCTA5 01543","9,049"
"ZCTA5 01545",""
"    ZCTA5 01545","38,316"
"ZCTA5 01550",""
"    ZCTA5 01550","17,740"
"ZCTA5 01560",""
"    ZCTA5 01560","4,896"
"ZCTA5 01561",""
"    ZCTA5 01561","64"
"ZCTA5 01562",""
"    ZCTA5 01562","11,992"
"ZCTA5 01564",""
"    ZCTA5 01564","7,985"
"ZCTA5 01566",""
"    ZCTA5 01566","6,691"
"ZCTA5 01568",""
"    ZCTA5 01568","7,900"
"ZCTA5 01569",""
"    ZCTA5 01569","14,193"
"ZCTA5 01570",""
"    ZCTA5 01570","17,776"
"ZCTA5 01571",""
"    ZCTA5 01571","11,921"
"ZCTA5 01581",""
"    ZCTA5 01581","21,567"
"ZCTA5 01583",""
"    ZCTA5 01583","7,652"
"ZCTA5 01585",""
"    ZCTA5 01585","4,899"
"ZCTA5 01588",""
"    ZCTA5 01588","10,106"
"ZCTA5 01590",""
"    ZCTA5 01590","9,279"
"ZCTA5 01602",""
"    ZCTA5 01602","25,382"
"ZCTA5 01603",""
"    ZCTA5 01603","22,417"
"ZCTA5 01604",""
"    ZCTA5 01604","41,301"
"ZCTA5 01605",""
"    ZCTA5 01605","29,218"
"ZCTA5 01606",""
"    ZCTA5 01606","21,651"
"ZCTA5 01607",""
"    ZCTA5 01607","9,378"
"ZCTA5 01608",""
"    ZCTA5 01608","4,996"
"ZCTA5 01609",""
"    ZCTA5 01609","23,870"
"ZCTA5 01610",""
"    ZCTA5 01610","28,717"
"ZCTA5 01611",""
"    ZCTA5 01611","2,277"
"ZCTA5 01612",""
"    ZCTA5 01612","5,051"
"ZCTA5 01701",""
"    ZCTA5 01701","33,005"
"ZCTA5 01702",""
"    ZCTA5 01702","39,515"
"ZCTA5 01718",""
"    ZCTA5 01718","688"
"ZCTA5 01719",""
"    ZCTA5 01719","5,506"
"ZCTA5 01720",""
"    ZCTA5 01720","23,232"
"ZCTA5 01721",""
"    ZCTA5 01721","18,832"
"ZCTA5 01730",""
"    ZCTA5 01730","14,566"
"ZCTA5 01731",""
"    ZCTA5 01731","1,555"
"ZCTA5 01740",""
"    ZCTA5 01740","5,665"
"ZCTA5 01741",""
"    ZCTA5 01741","5,237"
"ZCTA5 01742",""
"    ZCTA5 01742","18,545"
"ZCTA5 01745",""
"    ZCTA5 01745","433"
"ZCTA5 01746",""
"    ZCTA5 01746","14,996"
"ZCTA5 01747",""
"    ZCTA5 01747","6,017"
"ZCTA5 01748",""
"    ZCTA5 01748","18,758"
"ZCTA5 01749",""
"    ZCTA5 01749","20,092"
"ZCTA5 01752",""
"    ZCTA5 01752","41,793"
"ZCTA5 01754",""
"    ZCTA5 01754","10,730"
"ZCTA5 01756",""
"    ZCTA5 01756","6,228"
"ZCTA5 01757",""
"    ZCTA5 01757","30,479"
"ZCTA5 01760",""
"    ZCTA5 01760","36,659"
"ZCTA5 01770",""
"    ZCTA5 01770","4,401"
"ZCTA5 01772",""
"    ZCTA5 01772","10,017"
"ZCTA5 01773",""
"    ZCTA5 01773","5,651"
"ZCTA5 01775",""
"    ZCTA5 01775","7,190"
"ZCTA5 01776",""
"    ZCTA5 01776","18,934"
"ZCTA5 01778",""
"    ZCTA5 01778","14,132"
"ZCTA5 01801",""
"    ZCTA5 01801","40,891"
"ZCTA5 01803",""
